filename,width,height,class,xmin,ymin,xmax,ymax
controller (1).jpeg,320,180,controller,16,9,81,83
controller (1).jpeg,320,180,controller,89,7,168,85
controller (1).jpeg,320,180,controller,171,7,267,84
controller (1).jpeg,320,180,controller,8,78,70,159
controller (1).jpeg,320,180,controller,72,85,135,160
controller (1).jpeg,320,180,controller,136,87,190,167
controller (1).jpeg,320,180,controller,192,86,254,164
controller (10).jpeg,241,180,controller,77,3,141,131
controller (11).jpeg,240,180,controller,181,32,232,135
controller (11).jpeg,240,180,controller,9,39,76,136
controller (12).jpeg,240,180,controller,37,3,232,139
controller (13).jpeg,240,180,controller,35,72,154,179
controller (14).jpeg,203,180,controller,23,1,186,127
controller (15).jpeg,202,180,controller,20,1,185,131
controller (16).jpeg,190,180,controller,1,1,189,180
controller (17).jpeg,187,180,controller,21,3,178,176
controller (18).jpeg,180,180,controller,33,36,162,161
controller (19).jpeg,180,180,controller,26,25,69,144
controller (19).jpeg,180,180,controller,118,27,160,147
controller (20).jpeg,180,180,controller,7,5,134,69
controller (20).jpeg,180,180,controller,38,65,171,175
controller (21).jpeg,180,180,controller,17,9,164,173
controller (22).jpeg,180,180,controller,12,22,172,150
controller (23).jpeg,180,180,controller,11,1,110,128
controller (23).jpeg,180,180,controller,97,35,180,161
controller (24).jpeg,180,180,controller,34,22,158,141
controller (25).jpeg,172,180,controller,16,2,152,134
controller (25).jpeg,172,180,controller,71,135,104,180
controller (26).jpeg,169,180,controller,16,8,159,175
controller (27).jpeg,161,180,controller,13,9,152,172
controller (28).jpeg,143,180,controller,51,57,135,163
controller (29).jpeg,142,179,controller,1,8,64,152
controller (29).jpeg,142,179,controller,82,1,142,142
controller (31).jpeg,320,180,controller,10,10,308,180
controller (32).jpeg,257,180,controller,19,7,234,168
controller (33).jpeg,240,180,controller,14,3,209,156
controller (34).jpeg,238,180,controller,7,1,238,180
controller (35).jpeg,233,180,controller,13,8,233,180
controller (36).jpeg,233,180,controller,27,20,211,171
controller (37).jpeg,231,180,controller,1,11,231,180
controller (38).jpeg,231,180,controller,23,9,215,169
controller (39).jpeg,216,180,controller,54,12,188,167
controller (40).jpeg,180,180,controller,7,21,175,166
controller (7).jpeg,276,180,controller,111,50,266,172
controller (8).jpeg,270,180,controller,149,36,182,130
controller (8).jpeg,270,180,controller,201,42,237,155
controller (8).jpeg,270,180,controller,77,3,116,101
controller (8).jpeg,270,180,controller,27,59,69,170
controller (9).jpeg,255,180,controller,29,18,220,169
controller.jpeg,320,180,controller,114,16,220,140
phone (10).jpeg,360,180,phone,146,1,262,74
phone (100).jpeg,270,180,phone,88,21,182,164
phone (11).jpeg,360,180,phone,18,2,186,180
phone (12).jpeg,360,180,phone,151,17,214,126
phone (13).jpeg,360,180,phone,142,21,218,162
phone (14).jpeg,356,180,phone,76,101,120,156
phone (19).jpeg,324,180,phone,2,3,160,174
phone (19).jpeg,324,180,phone,167,3,321,174
phone (20).jpeg,323,180,phone,100,21,200,153
phone (21).jpeg,320,180,phone,57,13,132,163
phone (21).jpeg,320,180,phone,166,12,251,166
phone (22).jpeg,320,180,phone,64,65,136,158
phone (23).jpeg,320,180,phone,39,21,167,180
phone (24).jpeg,320,180,phone,20,1,143,169
phone (24).jpeg,320,180,phone,145,2,302,180
phone (25).jpeg,320,180,phone,116,34,218,165
phone (26).jpeg,320,180,phone,146,72,228,162
phone (27).jpeg,320,180,phone,119,1,223,180
phone (28).jpeg,320,180,phone,92,88,141,156
phone (29).jpeg,320,180,phone,59,7,105,94
phone (29).jpeg,320,180,phone,149,8,189,93
phone (30).jpeg,320,180,phone,67,46,250,147
phone (31).jpeg,320,180,phone,155,15,239,166
phone (32).jpeg,320,180,phone,204,56,269,176
phone (33).jpeg,320,180,phone,87,10,168,160
phone (34).jpeg,320,180,phone,89,29,151,149
phone (34).jpeg,320,180,phone,170,40,228,149
phone (35).jpeg,320,180,phone,114,21,224,158
phone (36).jpeg,320,180,phone,94,26,224,178
phone (37).jpeg,320,180,phone,117,1,217,174
phone (38).jpeg,320,180,phone,146,64,213,180
phone (39).jpeg,320,180,phone,94,24,227,100
phone (4).jpeg,360,180,phone,128,2,284,175
phone (40).jpeg,320,180,phone,39,1,130,180
phone (41).jpeg,320,180,phone,130,16,198,159
phone (42).jpeg,320,180,phone,114,2,209,178
phone (43).jpeg,320,180,phone,108,60,168,130
phone (44).jpeg,320,180,phone,52,59,150,180
phone (44).jpeg,320,180,phone,161,9,254,147
phone (45).jpeg,320,180,phone,75,38,224,158
phone (46).jpeg,320,180,phone,134,19,190,124
phone (47).jpeg,320,180,phone,70,106,109,152
phone (48).jpeg,320,180,phone,102,31,261,160
phone (49).jpeg,320,180,phone,31,37,128,110
phone (5).jpeg,360,180,phone,15,18,360,155
phone (50).jpeg,319,180,phone,124,9,211,161
phone (51).jpeg,319,180,phone,129,15,167,53
phone (51).jpeg,319,180,phone,168,24,218,58
phone (51).jpeg,319,180,phone,207,47,247,69
phone (51).jpeg,319,180,phone,205,84,288,175
phone (51).jpeg,319,180,phone,131,62,178,132
phone (51).jpeg,319,180,phone,71,72,134,128
phone (51).jpeg,319,180,phone,43,67,86,94
phone (51).jpeg,319,180,phone,76,41,116,71
phone (52).jpeg,319,180,phone,90,11,260,169
phone (53).jpeg,312,180,phone,87,32,158,169
phone (53).jpeg,312,180,phone,145,25,200,155
phone (54).jpeg,309,180,phone,115,8,179,102
phone (55).jpeg,300,180,phone,68,7,255,179
phone (56).jpeg,300,180,phone,123,23,207,111
phone (57).jpeg,300,180,phone,78,40,214,145
phone (58).jpeg,300,180,phone,117,30,267,142
phone (59).jpeg,300,180,phone,114,25,186,160
phone (6).jpeg,360,180,phone,46,95,131,179
phone (60).jpeg,289,180,phone,59,29,114,116
phone (61).jpeg,288,180,phone,164,114,203,159
phone (62).jpeg,278,180,phone,80,26,251,134
phone (63).jpeg,277,180,phone,150,115,184,152
phone (64).jpeg,275,180,phone,93,2,185,177
phone (65).jpeg,274,180,phone,96,2,193,179
phone (65).jpeg,274,180,phone,12,6,84,119
phone (66).jpeg,271,180,phone,78,14,198,160
phone (67).jpeg,270,180,phone,77,33,186,147
phone (68).jpeg,270,180,phone,1,1,213,166
phone (69).jpeg,270,180,phone,118,1,192,157
phone (7).jpeg,360,180,phone,75,46,205,144
phone (70).jpeg,270,180,phone,111,19,179,138
phone (71).jpeg,270,180,phone,106,35,153,126
phone (72).jpeg,270,180,phone,42,44,103,128
phone (73).jpeg,270,180,phone,126,91,162,138
phone (74).jpeg,270,180,phone,38,48,114,116
phone (75).jpeg,270,180,phone,46,26,145,145
phone (76).jpeg,270,180,phone,86,23,150,131
phone (77).jpeg,270,180,phone,106,48,171,123
phone (78).jpeg,270,180,phone,86,65,187,180
phone (79).jpeg,270,180,phone,102,30,178,170
phone (80).jpeg,270,180,phone,101,5,182,171
